b,,r,,g,
X,Y,X,Y,X,Y
851.7104569808723,18.52128060855626,858.4688967610168,16.357899715096465,1009.3177403659386,2.4681733882375028
855.7245272594112,17.87863267143843,863.3564881591144,16.049520921978726,1014.6496582547724,2.2412221418916687
860.0069499981804,17.305092983274868,868.2440795572121,15.678146155231005,1019.6113040679927,2.0331834994079827
865.133794122059,16.725216678144733,873.1316709553097,15.105249283454732,1025.7805907172997,1.8103448275862064
870.0213855201566,16.175891502330387,876.9084461265669,14.633483167258696,1032.5316455696202,1.5517241379310462
874.9089769182542,15.685883129538247,886.0429864340413,13.302895042906997,1040.632911392405,1.2068965517241423
879.7965683163519,15.180400808131616,889.5889826108026,12.663018612237487,1048.73417721519,1.0344827586206833
884.6841597144495,14.600127735088286,893.3657577820599,12.06530152767737,1058.8607594936711,0.7758620689655231
889.2755334520563,13.955379876151262,895.7923219828531,11.44945986441602,1068.987341772152,0.6034482758620783
892.0472844180771,13.40826526442472,900.8039186273264,10.822191836321288,1082.4894514767934,0.4310344827586192
895.7139114256644,12.837311236065169,905.3625730319359,10.190826077389758,1093.2911392405063,0.3448275862069039
899.3469339087424,12.230195792600519,910.0280011846654,9.558199478200741,1100.042194092827,0.3448275862069039
902.9799563918202,11.594085658656006,914.915592582763,8.94955749936419,,
906.8220736940681,10.958288417054824,919.9906644401985,8.457341113920194,,
910.5335067343348,10.327497452946545,925.8515424370515,7.9317155460555995,,
914.4540345937713,9.733141063925636,931.4796779863761,7.402162637915325,,
918.8631205403069,9.187221479366215,938.1445753474184,6.8347845220507395,,
922.1980105751727,8.788186320955944,944.1429829723563,6.324144217772613,,
926.4508498436472,8.33833652909189,949.3595113639421,5.828977862108985,,
931.3384412417448,7.835433199121013,954.0002547116308,5.441556037538817,,
936.2260326398425,7.37895171499359,959.0359549399737,5.038087155146229,,
941.1136240379401,6.958576110966661,963.5779590674988,4.67874768176533,,
946.0012154360377,6.540779498375457,969.2474296989486,4.367789897211836,,
950.8888068341353,6.130719860091503,974.1522525953018,4.054631754314286,,
955.776398232233,5.720660221807549,879.957805907173,14.224137931034484,,
960.6639896303305,5.320916549266599,882.6582278481013,13.793103448275865,,
965.5515810284281,4.931488842468639,977.8481012658228,3.7931034482758577,,
970.4391724265257,4.573009032899662,983.2489451476795,3.5344827586206975,,
975.3267638246234,4.255793086302631,989.324894514768,3.275862068965523,,
980.214355222721,3.966946045498844,996.0759493670887,2.931034482758619,,
985.1019466208186,3.703888919052531,1004.1772151898736,2.5862068965517295,,
989.9895380189162,3.456305741220717,1012.9535864978903,2.2413793103448256,,
994.8771294170139,3.2216175205676336,1022.4050632911393,1.8103448275862064,,
999.7647208151114,2.997245265657554,1029.831223628692,1.4655172413793167,,
1004.652312213209,2.785767967926219,1040.632911392405,1.2068965517241423,,
1009.5399036113066,2.569132687323375,1050.084388185654,0.948275862068968,,
1014.4274950094043,2.355076398156271,1059.535864978903,0.7758620689655231,,
1019.3150864075019,2.148757083296431,1068.987341772152,0.6034482758620783,,
1024.2026778055995,1.9475957513080715,1078.4388185654009,0.5172413793103487,,
1029.090269203697,1.7412764364482314,1089.240506329114,0.4310344827586192,,
1033.9778606017949,1.5478520787671215,1100.042194092827,0.3448275862069039,,
1038.8654519998922,1.3750596525719914,,,,
1043.75304339799,1.2074252092483704,,,,
1048.6406347960874,1.065580680282224,,,,
1053.5282261941852,0.9288941341875869,,,,
1058.4158175922828,0.8128395195789011,,,,
1063.3034089903804,0.7122588535847285,,,,
1068.191000388478,0.6400470933837852,,,,
1073.0785917865755,0.5652563417470873,,,,
1077.9661831846734,0.5162555044678783,,,,
1082.8537745827707,0.4543597100099248,,,,
1087.7413659808685,0.4311487870881905,,,,
1092.628957378966,0.37441097550173197,,,,
1097.5165487770637,0.33572610396551283,,,,
1100.4046709668487,0.30993618960802394,,,,
