b,,g,,r,
X,Y,X,Y,X,Y
624.1284064228796,0.030767861632910343,594.1706470178035,0.5595282603379632,619.2262276111398,0.8305996080160738
626.4729267241464,0.030767861632910343,595.0350408662503,0.546963684854375,621.5707479124067,0.8260564264739914
628.8174470254132,0.030767861632910343,595.7810245984716,0.5356173207480005,623.9152682136735,0.8217450399085456
631.16196732668,0.030767861632910343,596.7283055282763,0.5236618509530191,626.2597885149403,0.8169237043944988
633.5064876279469,0.030767861632910343,597.5926993767232,0.5112035148337227,628.6043088162071,0.8117314969178331
635.8510079292137,0.032668580441332695,598.4452522135475,0.49928345816017206,630.9488291174739,0.8089499571981907
638.1955282304805,0.03781442892267095,599.1912359457688,0.4879006691288974,633.2933494187407,0.8089499571981907
640.5400485317473,0.041244994576896454,600.1385168755735,0.4763499207216948,635.6378697200075,0.8075128283430422
642.8845688330141,0.04147678955353351,601.014751735643,0.4642244679438463,637.9823900212743,0.8031550827822691
645.2290891342809,0.04249668745073554,602.0686017700508,0.4519856931774199,640.3269103225412,0.7988900552121507
647.5736094355477,0.04648356104888962,603.1224518044586,0.43974691841099345,642.6714306238081,0.7946713866373598
649.9181297368145,0.050377716656389016,603.9868456529055,0.42859178516034435,645.0159509250749,0.7893864611700394
652.2626500380813,0.05116581957695432,604.8393984897298,0.41807408809544666,647.3604712263417,0.7805318930625111
654.6071703393483,0.051304896562936464,605.6919513265541,0.40698269846337265,649.7049915276085,0.7709819400250724
656.9516906406151,0.05450366724052513,606.4379350587753,0.39589130883129875,652.0495118288754,0.7614783459829609
659.2962109418819,0.05876869481064351,607.2904878955997,0.3844812011063491,654.3940321301423,0.7517429569642127
661.6407312431487,0.060344900651774225,608.2377688254044,0.371867047252758,656.5254142222029,0.7404468151027761
663.9852515444156,0.060344900651774225,609.1021626738512,0.35930247176916974,658.4436581050576,0.7291146162449739
