r,,g,,b,
X,Y,X,Y,X,Y
579.5337441135099,0.44058266274991265,528.7539752920311,0.997181894463531,556.351675738487,0.07285047488964358
580.269682792082,0.4643425871686484,531.7897223411412,0.9969221048571303,559.3874227875971,0.06460215488641963
580.7630962243065,0.4868901600908473,534.8254693902513,0.9957530516283268,562.319678460033,0.057985638348400315
581.3122625867259,0.5076444630910855,537.8612164393614,0.9921159971387162,565.4589168858174,0.052197201180783415
581.9171818793402,0.5277420756973661,540.8969634884717,0.9845171511514942,568.4946639349275,0.048884883699173876
582.6384854137361,0.5470964013742223,543.9327105375818,0.9731513558714611,571.5304109840376,0.04648182983996674
583.1214451715491,0.564038394991643,546.8304690844597,0.9595318857559015,574.5661580331478,0.04407877598075993
583.8991985477675,0.5823628404431249,549.5902391291053,0.9437431724268956,577.601905082258,0.04135098511355184
584.3633416916397,0.6028212719471844,552.4879976759831,0.9279479643577297,580.6376521313681,0.03842835204154338
584.9919559795867,0.6193323447095435,555.5237447250933,0.9132049041944869,583.6733991804782,0.035635613772735164
585.5439099885158,0.63687535951955,558.5594917742034,0.8993711076536466,586.7091462295884,0.03336245471672883
585.8812152161947,0.6547954300777354,561.4572503210812,0.8853749426088059,589.7448932786986,0.03167382227512383
586.2951807228916,0.6714057280369838,564.2170203657269,0.8691575764292387,592.7806403278087,0.03082950605432133
587.6750657452144,0.7110561167138991,566.8388019081401,0.8531862887379568,595.8163873769188,0.029855295030318585
588.0890312519111,0.7351321184870891,568.7093127161777,0.8385009595983586,598.8521344260289,0.028556346998314774
588.8918734467172,0.756421876731631,570.8723119733914,0.8219288251763752,601.8878814751391,0.027192451564710618
586.9247293743501,0.6890109716131281,573.037670008421,0.805771910039836,604.9236285242492,0.026088345737507623
589.4075880510196,0.7743617923291942,575.0813151081484,0.7892376338468197,607.9593755733595,0.02459455550070322
590.1312610849488,0.793571790446939,577.0499510733289,0.773261810146537,610.9951226224696,0.024010028886301438
591.0996894824336,0.8148095907702008,578.9817901045808,0.7573404185542623,614.0308696715797,0.022516238649497256
591.7802236866246,0.831436125579849,580.9136291358327,0.7412149065569582,617.0666167206898,0.021347185420693693
592.5874564246835,0.8511541567056664,582.8454681670846,0.7251404246609114,620.1023637697999,0.02128223801909357
593.1601087089474,0.8691218553583586,584.6393186961042,0.7096868089968285,623.1381108189101,0.02258118605109738
594.0378689037028,0.8862878144201863,586.182281039247,0.6939424763922493,626.1738578680203,0.024659502902303343
595.6465553741714,0.903757555238644,587.7879654288589,0.6756922565425962,629.2096049171305,0.026672872351909183
597.2422685666523,0.9199053111262396,589.1929392697695,0.6567600889761411,632.2453519662406,0.029140873612716334
599.4040884349581,0.9368529747549111,590.4348357898599,0.6397925803080919,635.2810990153507,0.03180371707832408
602.1638584796037,0.9478218692473874,591.8147208121827,0.62312274723071,638.3168460644608,0.03414182353593098
605.1996055287138,0.9486661854681899,593.4705828389701,0.6069291950983964,641.352593113571,0.03660982479673813
608.235352577824,0.9432755511353742,595.2432043676463,0.5916653067338596,644.3883401626812,0.039337615663946
611.2710996269341,0.937690074597758,596.5063298880802,0.5767448902047085,647.4240872117913,0.04193551172795362
614.3068466760442,0.932169545461742,597.8708828545994,0.5602735075211052,650.4598342609015,0.04492309220156221
